"Wavelength","Semrock FF01-400/40","Semrock FF01-470/28","Semrock FF01-532/18","Chroma 51000bs","pco.edge 4.2","Omicron LedHUB 405nm LED","Omicron LedHUB 475nm LED","Omicron LedHUB 530nm LED"
420,0.96498001,1.136e-8,1e-7,0.0014918800443411,0.483358566241003,0.213922879820318,0.00134000000000166,0.000508292075534378
421,0.90876001,1.4702e-8,1e-7,0.0017913699848577,0.488330798983775,0.185878680860894,0.00156000000000198,0.000200559156278368
422,0.95014,1.9221e-8,1e-7,0.0025655899662524,0.493365923692366,0.159937720199292,0.00183000000000215,0.0000141692068461874
423,0.85712999,3.1022999e-8,1e-7,0.0033496299292892,0.498396920754085,0.137137927583913,0.00213000000000399,0.000267784128373465
424,0.69454002,5.0072e-8,1e-7,0.0049284100532532,0.503354858868649,0.116831663784893,0.00264000000000486,0.0000885599759015698
425,0.00137,8.0816001e-8,1e-7,0.0071773598901927,0.508218403875657,0.0996323020599696,0.00335000000000485,-0.000307153393710874
426,0.0000010185,1.3044e-7,1e-7,0.010847800411284,0.512989952040774,0.0851994570612993,0.00413000000000563,0.000479278417761589
427,1.6518e-7,1.7649e-7,1e-7,0.017832899466156998,0.517719456856777,0.0733077315314441,0.00502000000000624,0.000242212403474107
428,9.9593997e-8,1.6358e-7,1e-7,0.030122000724077003,0.522460685610003,0.0635172422651333,0.00602000000000902,0.000485137034853839
429,3.1938999e-8,1.5162e-7,1e-7,0.049169100821018,0.527271219380354,0.0551836552112599,0.00722000000001199,0.000548565974787668
430,3.1456e-8,1.4053001e-7,1e-7,0.09091229736805,0.532169173586455,0.0482639535712042,0.00878000000001278,0.00101327364539297
431,3.1094999e-8,1.5913e-7,1e-7,0.17201900482177998,0.537152803755247,0.0420841514370465,0.0105400000000114,0.000267229569996058
432,8.0485997e-8,1.9079e-7,1e-7,0.30344301462172996,0.542091768465603,0.0368956088306587,0.0122100000000145,0.000660188482306812
433,1.1514e-7,2.2875e-7,1e-7,0.4283429980278,0.54688257288306,0.0323958901189936,0.0141700000000178,0.000658809555303647
434,4.6053e-8,2.3870999e-7,1e-7,0.49474200606346,0.551451874185594,0.0285001921793664,0.0165100000000191,0.00074850548231109
435,2.9795e-8,2.1833e-7,1e-7,0.53393602371216,0.555836887049942,0.0247282501763193,0.0191500000000207,0.000774740599950394
436,2.9291e-8,7.8309e-8,1e-7,0.61282098293304,0.560041904334873,0.021446265306803,0.021970000000026,0.000769444052872006
437,2.9024999e-8,8.9011003e-8,1e-7,0.7316899895668,0.56407907879319,0.0185118055923335,0.0254600000000307,0.00074428468497767
438,2.402e-7,7.8428002e-8,1e-7,0.77966600656509,0.568015820935752,0.0157466842527583,0.0296100000000319,0.000788090407205275
439,2.7508e-7,1.4132e-7,1e-7,0.75639098882675,0.57189636808079,0.0135599237737732,0.034050000000037,0.000957185702788382
440,2.8214001e-7,2.1133e-7,1e-7,0.73920702934265,0.575674454916822,0.0116957838321687,0.0391200000000511,0.000936307438354295
441,2.7644001e-7,2.1736e-7,1e-7,0.7471129894256601,0.57938469487207,0.0100740309640182,0.0457300000000518,0.000856660308093338
442,2.7086e-7,8.8038e-8,1e-7,0.7737979888915999,0.583032761895251,0.00871993481293731,0.05353000000005,0.000653228552480511
443,2.6539001e-7,3.5351999e-7,1e-7,0.8008199930191,0.586653390535006,0.00756226578895158,0.061640000000061,0.000940510383672155
444,2.2099e-7,1.4234e-7,1e-7,0.83668398857117,0.590233304623183,0.00644794547571592,0.0709700000000701,0.000627529169332994
445,1.7703e-7,2.4472999e-7,1e-7,0.87210601568222,0.593753735946976,0.0055713758320291,0.0818400000000929,0.00129040345250642
446,1.4182e-7,5.9988997e-7,1e-7,0.89847600460052,0.597221199065279,0.0047983470236293,0.0941900000001059,0.00121585971237884
447,1.1361e-7,0.0000011681,1e-7,0.9139230251312299,0.600648378313686,0.00414033178145612,0.108270000000104,0.00136589390820784
448,9.1015998e-8,0.0000055300002,1e-7,0.9209470152854901,0.604068371505917,0.00361566090990204,0.122690000000108,0.00136784018975467
449,7.9288e-8,0.000029426999,1e-7,0.9229360222816501,0.607514666850395,0.00312345704542752,0.13766000000015,0.00153771071475945
450,7.0487999e-8,0.00018110999,1e-7,0.92180299758911,0.610972332259796,0.00262688861750171,0.156610000000169,0.00141360776136323
451,6.2665002e-8,0.0014600001,1e-7,0.9199990034103399,0.614442713251507,0.0023696241040492,0.17875000000015,0.00216023718634317
452,5.571e-8,0.01528,1e-7,0.9182940125465401,0.617924978376897,0.00203250084728106,0.200210000000174,0.00190747809541936
453,4.9526999e-8,0.23378,1e-7,0.9155719876289399,0.621417545082732,0.00185586615874747,0.223830000000207,0.00202551107254208
454,5.1527e-8,0.92426997,1e-7,0.91445702314377,0.62491371145818,0.00162589102287646,0.251260000000231,0.00230770411638992
455,5.5701001e-8,0.98227,1e-7,0.9152380228042599,0.628402984526624,0.00142765441071372,0.282250000000261,0.00260359966830188
456,6.0215001e-8,0.98199999,1e-7,0.91543000936508,0.631886454354697,0.00121905000041456,0.31720000000027,0.00290976918915639
457,6.5092998e-8,0.98071998,1e-7,0.91675597429276,0.635363707005549,0.00106846395700856,0.354370000000284,0.00329295184631917
458,7.0368003e-8,0.98746002,1e-7,0.9165440201759301,0.638834877230582,0.000878857416635154,0.393690000000309,0.00369483189676949
459,6.1565999e-8,0.98584002,1e-7,0.9168409705162,0.64230286327545,0.000698851040915867,0.435860000000332,0.00383138923002929
460,5.1207e-8,0.98628998,1e-7,0.9169909954071,0.645770081404919,0.000630999839870139,0.481400000000388,0.00465148015922669
461,4.2591999e-8,0.98334998,1e-7,0.9156870245933499,0.649233110471407,0,0.532830000000338,0.00464749666053044
462,3.5426002e-8,0.98611999,1e-7,0.91479498147964,0.652687313342034,0,0.586610000000313,0.00579276600192047
463,2.9465999e-8,0.98790997,1e-7,0.91313499212265,0.656129362496937,0,0.639450000000377,0.00649104584927201
464,3.0106001e-8,0.98742002,1e-7,0.9135069847106899,0.659558967154764,0,0.692870000000415,0.00725577537266098
465,3.2269998e-8,0.98475999,1e-7,0.9111250042915301,0.662978603291277,0,0.749580000000329,0.00819088770428023
466,3.4589e-8,0.98622,1e-7,0.9033759832382199,0.666396097890916,0,0.800960000000295,0.00907977182254982
467,3.7075999e-8,0.98945999,1e-7,0.8859630227088899,0.669809076202889,0,0.846740000000281,0.0105681103167555
468,3.9741e-8,0.98768002,1e-7,0.85306400060654,0.673214617455918,0,0.889010000000241,0.0115745228118443
469,4.0096001e-8,0.98286003,1e-7,0.79957401752472,0.676606293943058,0,0.926480000000174,0.0130476244025786
470,3.9873999e-8,0.98000002,1e-7,0.7233899831771899,0.67998311581132,0,0.956690000000119,0.0152397628995399
471,3.9652999e-8,0.98641002,1e-7,0.6294090151786801,0.68334663474619,0,0.979130000000059,0.0170983874208015
472,3.9433001e-8,0.98588997,1e-7,0.53922802209854,0.686827361300701,0,0.993470000000003,0.0194971590512432
473,3.9214001e-8,0.98052001,1.0007e-7,0.44433099031448,0.690242440795354,0,0.999709999999946,0.0221532280092367
474,3.6926998e-8,0.97460997,1.1158e-7,0.35961499810219,0.693413355152627,0,0.997769999999891,0.025476172339727
475,3.4311999e-8,0.97786999,1.2442e-7,0.28933098912239,0.696219813608738,0,0.987879999999834,0.0281096709587838
476,3.1881001e-8,0.98157001,1.3874001e-7,0.23374800384045002,0.698616569580675,0,0.9699099999998,0.0321035360426487
477,2.9622999e-8,0.96986002,1.5470999e-7,0.1906830072403,0.700628673359522,0,0.944349999999757,0.0373711581120424
478,2.7524999e-8,0.95670003,1.7242e-7,0.15767599642277,0.702351472110457,0,0.911399999999716,0.0428717997452304
479,2.4505001e-8,0.97924,1.7841e-7,0.13480900228024,0.703950609872751,0,0.8711999999997,0.0481353459669749
480,2.1589999e-8,0.97323,1.846e-7,0.11627600342035001,0.70566202755977,0,0.825949999999647,0.054750932568898
